		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
16-11-01	0:00	7.7	7.8	7.7	98	7.4	0.0	---	0.00	0.0	---	7.7	7.9	7.9	6.4	1023.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.221	0.000	20.6	44	7.9	19.4	8.35	1.2017	0.00	703	1	100.0	30
16-11-01	0:30	7.7	7.8	7.7	98	7.4	0.0	---	0.00	0.0	---	7.7	7.9	7.9	6.4	1023.1	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.221	0.000	20.6	44	7.9	19.4	8.35	1.2015	0.00	700	1	100.0	30
16-11-01	1:00	7.7	7.7	7.7	98	7.4	0.0	---	0.00	0.0	---	7.7	7.9	7.9	6.3	1022.9	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.222	0.000	20.6	44	7.9	19.5	8.35	1.2011	0.00	701	1	100.0	30
16-11-01	1:30	7.7	7.7	7.6	98	7.4	0.0	---	0.00	0.0	---	7.7	7.9	7.9	6.3	1022.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.222	0.000	20.6	44	7.9	19.5	8.35	1.2009	0.00	701	1	100.0	30
16-11-01	2:00	7.6	7.7	7.6	98	7.3	0.0	SSW	0.00	0.9	SSW	7.6	7.8	7.8	6.2	1022.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.223	0.000	20.6	44	7.9	19.5	8.35	1.2007	0.00	703	1	100.0	30
16-11-01	2:30	7.5	7.6	7.5	98	7.2	0.4	SE	0.80	1.3	SE	7.5	7.7	7.7	6.1	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.226	0.000	20.6	44	7.9	19.5	8.35	1.2003	0.00	699	1	100.0	30
16-11-01	3:00	7.4	7.5	7.4	98	7.1	0.4	SE	0.80	1.8	SE	7.4	7.6	7.6	6.1	1021.9	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.227	0.000	20.6	44	7.9	19.4	8.35	1.2001	0.00	703	1	100.0	30
16-11-01	3:30	7.4	7.4	7.4	98	7.1	0.4	SE	0.80	1.8	SE	7.4	7.6	7.6	6.0	1021.5	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.228	0.000	20.6	44	7.9	19.4	8.35	1.1996	0.00	701	1	100.0	30
16-11-01	4:00	7.5	7.5	7.4	98	7.2	0.4	SE	0.80	1.8	SSE	7.5	7.7	7.7	6.1	1021.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.226	0.000	20.6	44	7.9	19.4	8.35	1.1992	0.00	702	1	100.0	30
16-11-01	4:30	7.7	7.7	7.5	99	7.6	0.4	S	0.80	1.3	S	7.7	7.9	7.9	6.4	1021.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.221	0.000	20.6	44	7.9	19.4	8.35	1.1990	0.00	699	1	100.0	30
16-11-01	5:00	7.9	7.9	7.7	98	7.6	0.0	S	0.00	0.9	S	7.9	8.1	8.1	6.6	1020.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.218	0.000	20.6	45	8.2	19.5	8.47	1.1985	0.00	703	1	100.0	30
16-11-01	5:30	8.1	8.1	7.9	99	8.0	0.0	S	0.00	1.8	S	8.1	8.3	8.3	6.8	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.213	0.000	20.7	45	8.3	19.6	8.47	1.1972	0.00	702	1	100.0	30
16-11-01	6:00	8.3	8.3	8.1	99	8.1	0.4	SSW	0.80	1.8	SSW	8.3	8.6	8.6	7.1	1020.1	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.209	0.000	20.7	45	8.4	19.6	8.46	1.1968	0.00	702	1	100.0	30
16-11-01	6:30	8.4	8.4	8.3	99	8.2	0.9	SSW	1.61	2.2	SSW	8.4	8.7	8.7	7.2	1019.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.207	0.000	20.8	45	8.4	19.7	8.46	1.1962	0.00	703	1	100.0	30
16-11-01	7:00	8.4	8.5	8.4	99	8.3	0.4	SSW	0.80	1.8	SSW	8.4	8.7	8.7	7.2	1019.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.206	0.000	20.8	45	8.4	19.7	8.46	1.1959	0.00	702	1	100.0	30
16-11-01	7:30	8.5	8.5	8.4	99	8.4	0.4	SSW	0.80	2.7	SSW	8.5	8.8	8.8	7.3	1019.2	0.20	0.0	3	0.13	5	0.0	0.00	0.0	0.205	0.000	20.8	46	8.7	19.7	8.65	1.1952	0.00	700	1	100.0	30
16-11-01	8:00	8.6	8.6	8.5	99	8.5	0.9	SSW	1.61	2.2	SSE	8.6	8.9	8.9	7.8	1018.9	0.00	0.0	9	0.39	16	0.0	0.00	0.0	0.203	0.000	20.8	46	8.7	19.7	8.65	1.1949	0.00	699	1	100.0	30
16-11-01	8:30	8.7	8.7	8.6	99	8.6	0.9	SSW	1.61	2.7	SSW	8.7	9.0	9.0	8.2	1018.6	0.20	0.0	17	0.73	26	0.0	0.00	0.0	0.200	0.000	20.8	46	8.7	19.7	8.65	1.1945	0.00	700	1	100.0	30
16-11-01	9:00	8.9	8.9	8.7	99	8.8	1.3	SW	2.41	3.6	WSW	8.6	9.3	8.9	8.1	1018.3	0.00	0.0	18	0.77	25	0.0	0.00	0.0	0.196	0.000	20.8	46	8.8	19.8	8.65	1.1939	0.00	700	1	100.0	30
16-11-01	9:30	9.2	9.2	9.0	99	9.0	1.3	SW	2.41	3.6	WSW	8.9	9.5	9.2	8.3	1018.0	0.00	0.0	17	0.73	23	0.0	0.00	0.0	0.191	0.000	20.8	47	9.1	19.8	8.76	1.1933	0.00	700	1	100.0	30
16-11-01	10:00	9.4	9.4	9.2	99	9.3	0.9	WSW	1.61	3.1	WSW	9.4	9.8	9.8	9.1	1017.8	0.00	0.0	25	1.08	33	0.0	0.00	0.0	0.185	0.000	20.9	47	9.2	19.8	8.76	1.1927	0.00	700	1	100.0	30
